Uniform reliable broadcast: (0, 0)
FIFO broadcast: index 0, value0
Uniform reliable broadcast: (1, 1)
FIFO broadcast: index 1, value1
Uniform reliable broadcast: (2, 2)
FIFO broadcast: index 2, value2
Uniform reliable broadcast: (3, 3)
FIFO broadcast: index 3, value3
Uniform reliable broadcast: (4, 4)
FIFO broadcast: index 4, value4
Uniform reliable broadcast: (5, 5)
FIFO broadcast: index 5, value5
Uniform reliable broadcast: (6, 6)
FIFO broadcast: index 6, value6
Uniform reliable broadcast: (7, 7)
FIFO broadcast: index 7, value7
Uniform reliable broadcast: (8, 8)
FIFO broadcast: index 8, value8
Uniform reliable broadcast: (9, 9)
FIFO broadcast: index 9, value9
Uniform reliable broadcast: (10, 10)
FIFO broadcast: index 10, value10
Uniform reliable broadcast: (11, 11)
FIFO broadcast: index 11, value11
Uniform reliable broadcast: (12, 12)
FIFO broadcast: index 12, value12
Uniform reliable broadcast: (13, 13)
FIFO broadcast: index 13, value13
Uniform reliable broadcast: (14, 14)
FIFO broadcast: index 14, value14
Uniform reliable broadcast: (15, 15)
FIFO broadcast: index 15, value15
Uniform reliable broadcast: (16, 16)
FIFO broadcast: index 16, value16
Uniform reliable broadcast: (17, 17)
FIFO broadcast: index 17, value17
Uniform reliable broadcast: (18, 18)
FIFO broadcast: index 18, value18
Uniform reliable broadcast: (19, 19)
FIFO broadcast: index 19, value19
